"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02276V02746","Domestic","C02196V04140","Region of Residence","UNIT","VALUE"
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","01","Domestic","IE053","South-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","01","Domestic","IE06","Eastern and Midland","Thousand","1088"
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","01","Domestic","IE061","Dublin","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","01","Domestic","IE062","Mid-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","01","Domestic","IE063","Midland","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","02","Outbound","-","State","Thousand","1811"
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","02","Outbound","IE04","Northern and Western","Thousand","254"
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","02","Outbound","IE041","Border","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","02","Outbound","IE042","West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","02","Outbound","IE05","Southern","Thousand","457"
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","02","Outbound","IE051","Mid-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","02","Outbound","IE052","South-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","02","Outbound","IE053","South-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","02","Outbound","IE06","Eastern and Midland","Thousand","1100"
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","02","Outbound","IE061","Dublin","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","02","Outbound","IE062","Mid-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20191","2019Q1","02","Outbound","IE063","Midland","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","01","Domestic","-","State","Thousand","2858"
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","01","Domestic","IE04","Northern and Western","Thousand","474"
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","01","Domestic","IE041","Border","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","01","Domestic","IE042","West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","01","Domestic","IE05","Southern","Thousand","932"
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","01","Domestic","IE051","Mid-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","01","Domestic","IE052","South-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","01","Domestic","IE053","South-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","01","Domestic","IE06","Eastern and Midland","Thousand","1452"
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","01","Domestic","IE061","Dublin","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","01","Domestic","IE062","Mid-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","01","Domestic","IE063","Midland","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","02","Outbound","-","State","Thousand","2555"
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","02","Outbound","IE04","Northern and Western","Thousand","373"
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","02","Outbound","IE041","Border","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","02","Outbound","IE042","West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","02","Outbound","IE05","Southern","Thousand","700"
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","02","Outbound","IE051","Mid-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","02","Outbound","IE052","South-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","02","Outbound","IE053","South-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","02","Outbound","IE06","Eastern and Midland","Thousand","1482"
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","02","Outbound","IE061","Dublin","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","02","Outbound","IE062","Mid-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20192","2019Q2","02","Outbound","IE063","Midland","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","01","Domestic","-","State","Thousand","3898"
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","01","Domestic","IE04","Northern and Western","Thousand","649"
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","01","Domestic","IE041","Border","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","01","Domestic","IE042","West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","01","Domestic","IE05","Southern","Thousand","1273"
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","01","Domestic","IE051","Mid-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","01","Domestic","IE052","South-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","01","Domestic","IE053","South-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","01","Domestic","IE06","Eastern and Midland","Thousand","1976"
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","01","Domestic","IE061","Dublin","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","01","Domestic","IE062","Mid-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","01","Domestic","IE063","Midland","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","02","Outbound","-","State","Thousand","2905"
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","02","Outbound","IE04","Northern and Western","Thousand","342"
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","02","Outbound","IE041","Border","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","02","Outbound","IE042","West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","02","Outbound","IE05","Southern","Thousand","880"
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","02","Outbound","IE051","Mid-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","02","Outbound","IE052","South-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","02","Outbound","IE053","South-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","02","Outbound","IE06","Eastern and Midland","Thousand","1683"
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","02","Outbound","IE061","Dublin","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","02","Outbound","IE062","Mid-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20193","2019Q3","02","Outbound","IE063","Midland","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","01","Domestic","-","State","Thousand","2641"
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","01","Domestic","IE04","Northern and Western","Thousand","465"
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","01","Domestic","IE041","Border","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","01","Domestic","IE042","West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","01","Domestic","IE05","Southern","Thousand","912"
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","01","Domestic","IE051","Mid-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","01","Domestic","IE052","South-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","01","Domestic","IE053","South-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","01","Domestic","IE06","Eastern and Midland","Thousand","1264"
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","01","Domestic","IE061","Dublin","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","01","Domestic","IE062","Mid-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","01","Domestic","IE063","Midland","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","02","Outbound","-","State","Thousand","2079"
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","02","Outbound","IE04","Northern and Western","Thousand","307"
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","02","Outbound","IE041","Border","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","02","Outbound","IE042","West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","02","Outbound","IE05","Southern","Thousand","591"
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","02","Outbound","IE051","Mid-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","02","Outbound","IE052","South-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","02","Outbound","IE053","South-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","02","Outbound","IE06","Eastern and Midland","Thousand","1180"
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","02","Outbound","IE061","Dublin","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","02","Outbound","IE062","Mid-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20194","2019Q4","02","Outbound","IE063","Midland","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","01","Domestic","-","State","Thousand","2160"
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","01","Domestic","IE04","Northern and Western","Thousand","376"
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","01","Domestic","IE041","Border","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","01","Domestic","IE042","West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","01","Domestic","IE05","Southern","Thousand","678"
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","01","Domestic","IE051","Mid-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","01","Domestic","IE052","South-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","01","Domestic","IE053","South-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","01","Domestic","IE06","Eastern and Midland","Thousand","1106"
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","01","Domestic","IE061","Dublin","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","01","Domestic","IE062","Mid-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","01","Domestic","IE063","Midland","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","02","Outbound","-","State","Thousand","1575"
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","02","Outbound","IE04","Northern and Western","Thousand","223"
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","02","Outbound","IE041","Border","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","02","Outbound","IE042","West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","02","Outbound","IE05","Southern","Thousand","402"
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","02","Outbound","IE051","Mid-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","02","Outbound","IE052","South-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","02","Outbound","IE053","South-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","02","Outbound","IE06","Eastern and Midland","Thousand","950"
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","02","Outbound","IE061","Dublin","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","02","Outbound","IE062","Mid-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20201","2020Q1","02","Outbound","IE063","Midland","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","01","Domestic","-","State","Thousand","237"
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","01","Domestic","IE04","Northern and Western","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","01","Domestic","IE041","Border","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","01","Domestic","IE042","West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","01","Domestic","IE05","Southern","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","01","Domestic","IE051","Mid-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","01","Domestic","IE052","South-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","01","Domestic","IE053","South-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","01","Domestic","IE06","Eastern and Midland","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","01","Domestic","IE061","Dublin","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","01","Domestic","IE062","Mid-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","01","Domestic","IE063","Midland","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","02","Outbound","-","State","Thousand","60"
"HTQ16C01","Number of Trips by Irish Residents","20202","2020Q2","02","Outbound","IE04","Northern and Western","Thousand",""
